ID,furnace,role,Description,UoM,pass
01TI1128A.PV,1HA,tube_COT,,,C
01TI1148A.PV,1HA,tube_COT,,,D
01TI1151A.PV,1HA,tube_COT,,,D
01TI1152A.PV,1HA,tube_COT,,,D
01TI1156A.PV,1HA,tube_COT,,,D
01TI1166A.PV,1HA,tube_COT,,,D
01TI1183A.PV,1HA,tube_COT,,,D
01TI1184A.PV,1HA,tube_COT,,,D
01TI1186A.PV,1HA,tube_COT,,,D
01TI2007A.PV,1HB,tube_COT,,,A
01TI2022A.PV,1HB,tube_COT,,,A
01TI2049A.PV,1HB,tube_COT,,,B
01TI2054A.PV,1HB,tube_COT,,,B
01TI2066A.PV,1HB,tube_COT,,,B
01TI2069A.PV,1HB,tube_COT,,,B
01TI2080A.PV,1HB,tube_COT,,,B
01TI2136A.PV,1HB,tube_COT,,,C
01TI2151A.PV,1HB,tube_COT,,,D
01TI2163A.PV,1HB,tube_COT,,,D
01TI2170A.PV,1HB,tube_COT,,,D
01TI2176A.PV,1HB,tube_COT,H-B TUBE CUR COT 176,DEGC,D
01TI2186A.PV,1HB,tube_COT,,,D
01TI2187A.PV,1HB,tube_COT,,,D
01TI3028A.PV,1HC,tube_COT,,,A
01TI3042A.PV,1HC,tube_COT,,DEGC,A
01TI3071A.PV,1HC,tube_COT,,,B
01TI3074A.PV,1HC,tube_COT,,,B
01TI3106A.PV,1HC,tube_COT,,,C
01TI3110A.PV,1HC,tube_COT,,,C
01TI3136A.PV,1HC,tube_COT,,,C
01TI1034A.PV,1HA,tube_COT,,,A
01TI1082A.PV,1HA,tube_COT,H-A TUBE CUR COT 082,DEGC,B
01TI1087A.PV,1HA,tube_COT,,,B
01TI1111A.PV,1HA,tube_COT,,,C
01TI1115A.PV,1HA,tube_COT,,,C
01TI1135A.PV,1HA,tube_COT,,,C
01TI1138A.PV,1HA,tube_COT,,,C
01TI1147A.PV,1HA,tube_COT,,,D
01TI1160A.PV,1HA,tube_COT,,,D
01TI2005A.PV,1HB,tube_COT,H-B TUBE CUR COT 005,DEGC,A
01TI2008A.PV,1HB,tube_COT,,,A
01TI2020A.PV,1HB,tube_COT,,,A
01TI2024A.PV,1HB,tube_COT,,,A
01TI2038A.PV,1HB,tube_COT,,,A
01TI2046A.PV,1HB,tube_COT,,,A
01TI2058A.PV,1HB,tube_COT,,,B
01TI2062A.PV,1HB,tube_COT,H-B TUBE CUR COT 062,DEGC,B
01TI2063A.PV,1HB,tube_COT,,DEGC,B
01TI2074A.PV,1HB,tube_COT,,,B
01TI2075A.PV,1HB,tube_COT,,,B
01TI2093A.PV,1HB,tube_COT,,,B
01TI2104A.PV,1HB,tube_COT,,,C
01TI2106A.PV,1HB,tube_COT,,,C
01TI2115A.PV,1HB,tube_COT,H-B TUBE CUR COT 115,DEGC,C
01TI2129A.PV,1HB,tube_COT,,,C
01TI2145A.PV,1HB,tube_COT,,,D
01TI2155A.PV,1HB,tube_COT,,,D
01TI2158A.PV,1HB,tube_COT,,,D
01TI2161A.PV,1HB,tube_COT,,,D
01TI2177A.PV,1HB,tube_COT,,DEGC,D
01TI2185A.PV,1HB,tube_COT,,,D
01TI2188A.PV,1HB,tube_COT,,,D
01TI2192A.PV,1HB,tube_COT,,,D
01TI3021A.PV,1HC,tube_COT,,,A
01TI3027A.PV,1HC,tube_COT,,,A
01TI3044A.PV,1HC,tube_COT,,,A
01TI3054A.PV,1HC,tube_COT,,,B
01TI3059A.PV,1HC,tube_COT,,,B
01TI3104A.PV,1HC,tube_COT,,,C
01TI3139A.PV,1HC,tube_COT,,,C
01TI1038A.PV,1HA,tube_COT,,,A
01TI1041A.PV,1HA,tube_COT,,,A
01TI1045A.PV,1HA,tube_COT,,,A
01TI1057A.PV,1HA,tube_COT,,,B
01TI1058A.PV,1HA,tube_COT,,,B
01TI1069A.PV,1HA,tube_COT,,,B
01TI1081A.PV,1HA,tube_COT,H-A TUBE CUR COT 081,DEGC,B
01TI1088A.PV,1HA,tube_COT,,,B
01TI1089A.PV,1HA,tube_COT,,,B
01TI1107A.PV,1HA,tube_COT,,,C
01TI1133A.PV,1HA,tube_COT,,,C
01TI1140A.PV,1HA,tube_COT,,,C
01TI1142A.PV,1HA,tube_COT,,,C
01TI1167A.PV,1HA,tube_COT,,,D
01TI1191A.PV,1HA,tube_COT,,,D
01TI2056A.PV,1HB,tube_COT,,,B
01TI2072A.PV,1HB,tube_COT,,,B
01TI2123A.PV,1HB,tube_COT,,,C
01TI2126A.PV,1HB,tube_COT,,,C
01TI2143A.PV,1HB,tube_COT,,,C
01TI2165A.PV,1HB,tube_COT,,,D
01TI2168A.PV,1HB,tube_COT,,,D
01TI2171A.PV,1HB,tube_COT,H-B TUBE CUR COT 171,DEGC,D
01TI2181A.PV,1HB,tube_COT,,,D
01TI3017A.PV,1HC,tube_COT,,,A
01TI3063A.PV,1HC,tube_COT,,,B
01TI3067A.PV,1HC,tube_COT,,,B
01TI3069A.PV,1HC,tube_COT,,,B
01TI3076A.PV,1HC,tube_COT,,,B
01TI3080A.PV,1HC,tube_COT,,,B
01TI3082A.PV,1HC,tube_COT,,,B
01TI3108A.PV,1HC,tube_COT,,,C
01TI3113A.PV,1HC,tube_COT,,,C
01TI3115A.PV,1HC,tube_COT,,,C
01TI3152A.PV,1HC,tube_COT,H-C TUBE CUR COT 152,DEGC,D
01TI1026A.PV,1HA,tube_COT,H-A TUBE CUR COT 026,DEGC,A
01TI1053A.PV,1HA,tube_COT,,,B
01TI1055A.PV,1HA,tube_COT,,,B
01TI1103A.PV,1HA,tube_COT,,,C
01TI1110A.PV,1HA,tube_COT,,,C
01TI1117A.PV,1HA,tube_COT,,,C
01TI1132A.PV,1HA,tube_COT,,,C
01TI1134A.PV,1HA,tube_COT,,,C
01TI1141A.PV,1HA,tube_COT,,DEGC,C
01TI1143A.PV,1HA,tube_COT,,,C
01TI1157A.PV,1HA,tube_COT,,,D
01TI1158A.PV,1HA,tube_COT,,,D
01TI1172A.PV,1HA,tube_COT,,,D
01TI1176A.PV,1HA,tube_COT,,,D
01TI1179A.PV,1HA,tube_COT,,,D
01TI1190A.PV,1HA,tube_COT,,,D
01TI2019A.PV,1HB,tube_COT,,,A
01TI2032A.PV,1HB,tube_COT,,,A
01TI2033A.PV,1HB,tube_COT,,,A
01TI2059A.PV,1HB,tube_COT,,,B
01TI2068A.PV,1HB,tube_COT,,,B
01TI2114A.PV,1HB,tube_COT,H-B TUBE CUR COT 114,DEGC,C
01TI2120A.PV,1HB,tube_COT,,DEGC,C
01TI2175A.PV,1HB,tube_COT,H-B TUBE CUR COT 175,DEGC,D
01TI2184A.PV,1HB,tube_COT,,,D
01TI2189A.PV,1HB,tube_COT,,,D
01TI3065A.PV,1HC,tube_COT,,,B
01TI3068A.PV,1HC,tube_COT,,,B
01TI3075A.PV,1HC,tube_COT,,,B
01TI3081A.PV,1HC,tube_COT,,,B
01TI3095A.PV,1HC,tube_COT,H-C TUBE CUR COT 095,DEGC,B
01TI3102A.PV,1HC,tube_COT,,,C
01TI3129A.PV,1HC,tube_COT,,,C
01TI3140A.PV,1HC,tube_COT,,,C
01TI3150A.PV,1HC,tube_COT,,,D
01TI1031A.PV,1HA,tube_COT,,,A
